time_point,group,subject,rank,rearing,sex,age,task,trial_time_point,code
5,a_chimp,bambari,6,mother,f,19.849418206707735,quantity,8,1
5,a_chimp,bambari,6,mother,f,19.849418206707735,quantity,9,0
5,a_chimp,robert,2,hand,m,44.87063655030801,gaze_following,5,0
5,a_chimp,robert,2,hand,m,44.87063655030801,gaze_following,6,0
5,a_chimp,robert,2,hand,m,44.87063655030801,quantity,1,0
5,a_chimp,robert,2,hand,m,44.87063655030801,gaze_following,1,0
5,a_chimp,robert,2,hand,m,44.87063655030801,gaze_following,2,0
5,a_chimp,robert,2,hand,m,44.87063655030801,inference,1,1
5,a_chimp,robert,2,hand,m,44.87063655030801,causality,1,0
5,a_chimp,robert,2,hand,m,44.87063655030801,inference,2,1
5,a_chimp,robert,2,hand,m,44.87063655030801,causality,2,0
5,a_chimp,robert,2,hand,m,44.87063655030801,inference,3,0
5,a_chimp,robert,2,hand,m,44.87063655030801,causality,3,1
5,a_chimp,robert,2,hand,m,44.87063655030801,causality,4,1
5,a_chimp,robert,2,hand,m,44.87063655030801,inference,4,1
5,a_chimp,robert,2,hand,m,44.87063655030801,inference,5,1
5,a_chimp,robert,2,hand,m,44.87063655030801,causality,5,0
5,a_chimp,robert,2,hand,m,44.87063655030801,causality,6,1
5,a_chimp,robert,2,hand,m,44.87063655030801,inference,6,1
5,a_chimp,robert,2,hand,m,44.87063655030801,causality,7,0
5,a_chimp,robert,2,hand,m,44.87063655030801,causality,8,0
5,a_chimp,robert,2,hand,m,44.87063655030801,inference,7,1
5,a_chimp,robert,2,hand,m,44.87063655030801,inference,8,1
5,a_chimp,robert,2,hand,m,44.87063655030801,causality,9,0
5,a_chimp,robert,2,hand,m,44.87063655030801,inference,9,0
5,a_chimp,robert,2,hand,m,44.87063655030801,causality,10,1
5,a_chimp,robert,2,hand,m,44.87063655030801,causality,11,0
5,a_chimp,robert,2,hand,m,44.87063655030801,inference,10,1
5,a_chimp,robert,2,hand,m,44.87063655030801,inference,11,1
5,a_chimp,robert,2,hand,m,44.87063655030801,causality,12,0
5,a_chimp,robert,2,hand,m,44.87063655030801,inference,12,0
5,a_chimp,robert,2,hand,m,44.87063655030801,gaze_following,3,0
5,a_chimp,robert,2,hand,m,44.87063655030801,gaze_following,4,0
5,a_chimp,shanga,NA,mother,f,9.618069815195073,gaze_following,1,0
5,a_chimp,shanga,NA,mother,f,9.618069815195073,gaze_following,2,0
5,a_chimp,shanga,NA,mother,f,9.618069815195073,inference,1,1
5,a_chimp,shanga,NA,mother,f,9.618069815195073,causality,1,1
5,a_chimp,shanga,NA,mother,f,9.618069815195073,inference,2,0
5,a_chimp,shanga,NA,mother,f,9.618069815195073,causality,2,1
5,a_chimp,shanga,NA,mother,f,9.618069815195073,inference,3,0
5,a_chimp,shanga,NA,mother,f,9.618069815195073,causality,3,0
5,a_chimp,shanga,NA,mother,f,9.618069815195073,causality,4,1
5,a_chimp,shanga,NA,mother,f,9.618069815195073,inference,4,0
5,a_chimp,shanga,NA,mother,f,9.618069815195073,inference,5,0
5,a_chimp,shanga,NA,mother,f,9.618069815195073,causality,5,0
5,a_chimp,shanga,NA,mother,f,9.618069815195073,causality,6,0
5,a_chimp,shanga,NA,mother,f,9.618069815195073,inference,6,1
5,a_chimp,shanga,NA,mother,f,9.618069815195073,causality,7,1
5,a_chimp,shanga,NA,mother,f,9.618069815195073,causality,8,0
5,a_chimp,shanga,NA,mother,f,9.618069815195073,inference,7,0
5,a_chimp,shanga,NA,mother,f,9.618069815195073,inference,8,1
5,a_chimp,shanga,NA,mother,f,9.618069815195073,causality,9,0
5,a_chimp,shanga,NA,mother,f,9.618069815195073,inference,9,1
5,a_chimp,shanga,NA,mother,f,9.618069815195073,causality,10,1
5,a_chimp,shanga,NA,mother,f,9.618069815195073,causality,11,0
5,a_chimp,shanga,NA,mother,f,9.618069815195073,inference,10,1
5,a_chimp,shanga,NA,mother,f,9.618069815195073,inference,11,0
5,a_chimp,shanga,NA,mother,f,9.618069815195073,causality,12,1
5,a_chimp,shanga,NA,mother,f,9.618069815195073,inference,12,1
5,a_chimp,shanga,NA,mother,f,9.618069815195073,gaze_following,3,0
5,a_chimp,shanga,NA,mother,f,9.618069815195073,gaze_following,4,1
5,a_chimp,shanga,NA,mother,f,9.618069815195073,gaze_following,5,0
5,a_chimp,shanga,NA,mother,f,9.618069815195073,gaze_following,6,0
5,a_chimp,shanga,NA,mother,f,9.618069815195073,quantity,1,0
5,a_chimp,shanga,NA,mother,f,9.618069815195073,quantity,2,0
5,a_chimp,shanga,NA,mother,f,9.618069815195073,quantity,3,1
5,a_chimp,shanga,NA,mother,f,9.618069815195073,quantity,4,0
5,a_chimp,shanga,NA,mother,f,9.618069815195073,quantity,5,1
5,a_chimp,shanga,NA,mother,f,9.618069815195073,quantity,6,0
5,a_chimp,shanga,NA,mother,f,9.618069815195073,quantity,7,0
5,a_chimp,shanga,NA,mother,f,9.618069815195073,quantity,8,1
5,a_chimp,shanga,NA,mother,f,9.618069815195073,quantity,9,1
5,a_chimp,shanga,NA,mother,f,9.618069815195073,quantity,10,0
5,a_chimp,shanga,NA,mother,f,9.618069815195073,quantity,11,1
5,a_chimp,shanga,NA,mother,f,9.618069815195073,quantity,12,1
5,a_chimp,shanga,NA,mother,f,9.618069815195073,switching_place,1,0
5,a_chimp,shanga,NA,mother,f,9.618069815195073,switching_place,2,1
5,a_chimp,shanga,NA,mother,f,9.618069815195073,switching_place,3,0
5,a_chimp,shanga,NA,mother,f,9.618069815195073,switching_place,4,0
5,a_chimp,shanga,NA,mother,f,9.618069815195073,switching_feature,1,0
5,a_chimp,shanga,NA,mother,f,9.618069815195073,switching_feature,2,0
5,a_chimp,shanga,NA,mother,f,9.618069815195073,switching_feature,3,0
5,a_chimp,shanga,NA,mother,f,9.618069815195073,switching_feature,4,1
5,a_chimp,shanga,NA,mother,f,9.618069815195073,switching_feature,5,0
5,a_chimp,shanga,NA,mother,f,9.618069815195073,switching_feature,6,1
5,a_chimp,shanga,NA,mother,f,9.618069815195073,switching_feature,7,0
5,a_chimp,shanga,NA,mother,f,9.618069815195073,switching_feature,8,1
5,a_chimp,shanga,NA,mother,f,9.618069815195073,gaze_following,7,0
5,a_chimp,shanga,NA,mother,f,9.618069815195073,gaze_following,8,0
5,a_chimp,kisha,8,mother,f,16.61327857631759,gaze_following,5,0
5,a_chimp,kisha,8,mother,f,16.61327857631759,gaze_following,6,0
5,a_chimp,kisha,8,mother,f,16.61327857631759,quantity,1,0
5,a_chimp,kisha,8,mother,f,16.61327857631759,quantity,2,1
5,a_chimp,kisha,8,mother,f,16.61327857631759,quantity,3,0
5,a_chimp,kisha,8,mother,f,16.61327857631759,gaze_following,1,0
5,a_chimp,kisha,8,mother,f,16.61327857631759,gaze_following,2,0
5,a_chimp,kisha,8,mother,f,16.61327857631759,inference,1,1
5,a_chimp,kisha,8,mother,f,16.61327857631759,causality,1,1
5,a_chimp,kisha,8,mother,f,16.61327857631759,inference,2,1
5,a_chimp,kisha,8,mother,f,16.61327857631759,causality,2,1
5,a_chimp,kisha,8,mother,f,16.61327857631759,inference,3,0
5,a_chimp,kisha,8,mother,f,16.61327857631759,causality,3,0
5,a_chimp,kisha,8,mother,f,16.61327857631759,causality,4,1
5,a_chimp,kisha,8,mother,f,16.61327857631759,inference,4,0
5,a_chimp,kisha,8,mother,f,16.61327857631759,inference,5,1
5,a_chimp,kisha,8,mother,f,16.61327857631759,causality,5,0
5,a_chimp,kisha,8,mother,f,16.61327857631759,causality,6,1
5,a_chimp,kisha,8,mother,f,16.61327857631759,inference,6,1
5,a_chimp,kisha,8,mother,f,16.61327857631759,causality,7,0
5,a_chimp,kisha,8,mother,f,16.61327857631759,causality,8,1
5,a_chimp,kisha,8,mother,f,16.61327857631759,inference,7,0
5,a_chimp,kisha,8,mother,f,16.61327857631759,inference,8,1
5,a_chimp,kisha,8,mother,f,16.61327857631759,causality,9,0
5,a_chimp,kisha,8,mother,f,16.61327857631759,inference,9,1
5,a_chimp,kisha,8,mother,f,16.61327857631759,causality,10,1
5,a_chimp,kisha,8,mother,f,16.61327857631759,causality,11,0
5,a_chimp,kisha,8,mother,f,16.61327857631759,inference,10,0
5,a_chimp,kisha,8,mother,f,16.61327857631759,inference,11,1
5,a_chimp,kisha,8,mother,f,16.61327857631759,causality,12,1
5,a_chimp,kisha,8,mother,f,16.61327857631759,inference,12,0
5,a_chimp,kisha,8,mother,f,16.61327857631759,gaze_following,3,0
5,a_chimp,kisha,8,mother,f,16.61327857631759,gaze_following,4,0
5,gorilla,abeeku,1,mother,m,21.467488021902806,gaze_following,1,0
5,gorilla,abeeku,1,mother,m,21.467488021902806,gaze_following,2,0
5,gorilla,abeeku,1,mother,m,21.467488021902806,inference,1,0
5,gorilla,abeeku,1,mother,m,21.467488021902806,causality,1,1
5,gorilla,abeeku,1,mother,m,21.467488021902806,inference,2,0
