"files"	"paramHeader"	"param"	"population"	"average"	"average_se"	"population_sd"	"mse"	"cover_95"	"kind"	"peb"	"seb"	"bias"	"abs_bias"	"abs_diff_sd_se"	"diff_sd_se"	"ratio_sd_se"
"LST 2 constructs T 9 free S var"	"SX5.WITH"	"SY5"	-0.057	-0.032	0.1689	0.1163	0.0141	0.989	"S covariance"	0.4386	0.4523	0.025	0.025	0.0526	0.0526	1.4523
"LST 2 constructs T 9 free S var"	"SX6.WITH"	"SY6"	0.149	0.0942	0.1956	0.1518	0.026	0.973	"S covariance"	0.3678	0.2885	-0.0548	0.0548	0.0438	0.0438	1.2885
"LST 2 constructs T 9 free S var"	"SX7.WITH"	"SY7"	-0.067	-0.0462	0.1731	0.1218	0.0152	0.988	"S covariance"	0.3104	0.4212	0.0208	0.0208	0.0513	0.0513	1.4212
"LST 2 constructs T 9 free S var"	"SX8.WITH"	"SY8"	-0.005	-0.0047	0.159	0.1007	0.0101	0.995	"S covariance"	0.06	0.5789	3e-04	3e-04	0.0583	0.0583	1.5789
"LST 2 constructs T 9 free S var"	"SX9.WITH"	"SY9"	-0.085	-0.0433	0.1649	0.1078	0.0134	0.992	"S covariance"	0.4906	0.5297	0.0417	0.0417	0.0571	0.0571	1.5297
"LST 2 constructs T 9 free S var"	"Thresholds"	"Y11$1"	-2.916	-2.8863	0.2798	0.2745	0.0761	0.951	"threshold"	0.0102	0.0193	0.0297	0.0297	0.0053	0.0053	1.0193
"LST 2 constructs T 9 free S var"	"Thresholds"	"Y11$2"	-1.946	-1.8924	0.261	0.2569	0.0688	0.946	"threshold"	0.0275	0.016	0.0536	0.0536	0.0041	0.0041	1.016
"LST 2 constructs T 9 free S var"	"Thresholds"	"Y11$3"	-1.245	-1.1841	0.2547	0.2531	0.0677	0.943	"threshold"	0.0489	0.0063	0.0609	0.0609	0.0016	0.0016	1.0063
"LST 2 constructs T 9 free S var"	"Thresholds"	"Y11$4"	-0.257	-0.1808	0.2514	0.25	0.0683	0.931	"threshold"	0.2965	0.0056	0.0762	0.0762	0.0014	0.0014	1.0056
"LST 2 constructs T 9 free S var"	"Thresholds"	"Y11$5"	0.724	0.8133	0.2538	0.2524	0.0716	0.934	"threshold"	0.1233	0.0055	0.0893	0.0893	0.0014	0.0014	1.0055
"LST 2 constructs T 9 free S var"	"Thresholds"	"Y21$1"	-2.916	-2.8863	0.2798	0.2745	0.0761	0.951	"threshold"	0.0102	0.0193	0.0297	0.0297	0.0053	0.0053	1.0193
"LST 2 constructs T 9 free S var"	"Thresholds"	"Y21$2"	-1.946	-1.8924	0.261	0.2569	0.0688	0.946	"threshold"	0.0275	0.016	0.0536	0.0536	0.0041	0.0041	1.016
"LST 2 constructs T 9 free S var"	"Thresholds"	"Y21$3"	-1.245	-1.1841	0.2547	0.2531	0.0677	0.943	"threshold"	0.0489	0.0063	0.0609	0.0609	0.0016	0.0016	1.0063
"LST 2 constructs T 9 free S var"	"Thresholds"	"Y21$4"	-0.257	-0.1808	0.2514	0.25	0.0683	0.931	"threshold"	0.2965	0.0056	0.0762	0.0762	0.0014	0.0014	1.0056
"LST 2 constructs T 9 free S var"	"Thresholds"	"Y21$5"	0.724	0.8133	0.2538	0.2524	0.0716	0.934	"threshold"	0.1233	0.0055	0.0893	0.0893	0.0014	0.0014	1.0055
"LST 2 constructs T 9 free S var"	"Thresholds"	"Y12$1"	-2.916	-2.8863	0.2798	0.2745	0.0761	0.951	"threshold"	0.0102	0.0193	0.0297	0.0297	0.0053	0.0053	1.0193
"LST 2 constructs T 9 free S var"	"Thresholds"	"Y12$2"	-1.946	-1.8924	0.261	0.2569	0.0688	0.946	"threshold"	0.0275	0.016	0.0536	0.0536	0.0041	0.0041	1.016
"LST 2 constructs T 9 free S var"	"Thresholds"	"Y12$3"	-1.245	-1.1841	0.2547	0.2531	0.0677	0.943	"threshold"	0.0489	0.0063	0.0609	0.0609	0.0016	0.0016	1.0063
"LST 2 constructs T 9 free S var"	"Thresholds"	"Y12$4"	-0.257	-0.1808	0.2514	0.25	0.0683	0.931	"threshold"	0.2965	0.0056	0.0762	0.0762	0.0014	0.0014	1.0056
"LST 2 constructs T 9 free S var"	"Thresholds"	"Y12$5"	0.724	0.8133	0.2538	0.2524	0.0716	0.934	"threshold"	0.1233	0.0055	0.0893	0.0893	0.0014	0.0014	1.0055
"LST 2 constructs T 9 free S var"	"Thresholds"	"Y22$1"	-2.916	-2.8863	0.2798	0.2745	0.0761	0.951	"threshold"	0.0102	0.0193	0.0297	0.0297	0.0053	0.0053	1.0193
"LST 2 constructs T 9 free S var"	"Thresholds"	"Y22$2"	-1.946	-1.8924	0.261	0.2569	0.0688	0.946	"threshold"	0.0275	0.016	0.0536	0.0536	0.0041	0.0041	1.016
"LST 2 constructs T 9 free S var"	"Thresholds"	"Y22$3"	-1.245	-1.1841	0.2547	0.2531	0.0677	0.943	"threshold"	0.0489	0.0063	0.0609	0.0609	0.0016	0.0016	1.0063
"LST 2 constructs T 9 free S var"	"Thresholds"	"Y22$4"	-0.257	-0.1808	0.2514	0.25	0.0683	0.931	"threshold"	0.2965	0.0056	0.0762	0.0762	0.0014	0.0014	1.0056
"LST 2 constructs T 9 free S var"	"Thresholds"	"Y22$5"	0.724	0.8133	0.2538	0.2524	0.0716	0.934	"threshold"	0.1233	0.0055	0.0893	0.0893	0.0014	0.0014	1.0055
"LST 2 constructs T 9 free S var"	"Thresholds"	"Y13$1"	-2.916	-2.8863	0.2798	0.2745	0.0761	0.951	"threshold"	0.0102	0.0193	0.0297	0.0297	0.0053	0.0053	1.0193
"LST 2 constructs T 9 free S var"	"Thresholds"	"Y13$2"	-1.946	-1.8924	0.261	0.2569	0.0688	0.946	"threshold"	0.0275	0.016	0.0536	0.0536	0.0041	0.0041	1.016
"LST 2 constructs T 9 free S var"	"Thresholds"	"Y13$3"	-1.245	-1.1841	0.2547	0.2531	0.0677	0.943	"threshold"	0.0489	0.0063	0.0609	0.0609	0.0016	0.0016	1.0063
"LST 2 constructs T 9 free S var"	"Thresholds"	"Y13$4"	-0.257	-0.1808	0.2514	0.25	0.0683	0.931	"threshold"	0.2965	0.0056	0.0762	0.0762	0.0014	0.0014	1.0056
"LST 2 constructs T 9 free S var"	"Thresholds"	"Y13$5"	0.724	0.8133	0.2538	0.2524	0.0716	0.934	"threshold"	0.1233	0.0055	0.0893	0.0893	0.0014	0.0014	1.0055
"LST 2 constructs T 9 free S var"	"Thresholds"	"Y23$1"	-2.916	-2.8863	0.2798	0.2745	0.0761	0.951	"threshold"	0.0102	0.0193	0.0297	0.0297	0.0053	0.0053	1.0193
"LST 2 constructs T 9 free S var"	"Thresholds"	"Y23$2"	-1.946	-1.8924	0.261	0.2569	0.0688	0.946	"threshold"	0.0275	0.016	0.0536	0.0536	0.0041	0.0041	1.016
"LST 2 constructs T 9 free S var"	"Thresholds"	"Y23$3"	-1.245	-1.1841	0.2547	0.2531	0.0677	0.943	"threshold"	0.0489	0.0063	0.0609	0.0609	0.0016	0.0016	1.0063
"LST 2 constructs T 9 free S var"	"Thresholds"	"Y23$4"	-0.257	-0.1808	0.2514	0.25	0.0683	0.931	"threshold"	0.2965	0.0056	0.0762	0.0762	0.0014	0.0014	1.0056
"LST 2 constructs T 9 free S var"	"Thresholds"	"Y23$5"	0.724	0.8133	0.2538	0.2524	0.0716	0.934	"threshold"	0.1233	0.0055	0.0893	0.0893	0.0014	0.0014	1.0055
"LST 2 constructs T 9 free S var"	"Thresholds"	"Y14$1"	-2.916	-2.8863	0.2798	0.2745	0.0761	0.951	"threshold"	0.0102	0.0193	0.0297	0.0297	0.0053	0.0053	1.0193
"LST 2 constructs T 9 free S var"	"Thresholds"	"Y14$2"	-1.946	-1.8924	0.261	0.2569	0.0688	0.946	"threshold"	0.0275	0.016	0.0536	0.0536	0.0041	0.0041	1.016
"LST 2 constructs T 9 free S var"	"Thresholds"	"Y14$3"	-1.245	-1.1841	0.2547	0.2531	0.0677	0.943	"threshold"	0.0489	0.0063	0.0609	0.0609	0.0016	0.0016	1.0063
"LST 2 constructs T 9 free S var"	"Thresholds"	"Y14$4"	-0.257	-0.1808	0.2514	0.25	0.0683	0.931	"threshold"	0.2965	0.0056	0.0762	0.0762	0.0014	0.0014	1.0056
"LST 2 constructs T 9 free S var"	"Thresholds"	"Y14$5"	0.724	0.8133	0.2538	0.2524	0.0716	0.934	"threshold"	0.1233	0.0055	0.0893	0.0893	0.0014	0.0014	1.0055
"LST 2 constructs T 9 free S var"	"Thresholds"	"Y24$1"	-2.916	-2.8863	0.2798	0.2745	0.0761	0.951	"threshold"	0.0102	0.0193	0.0297	0.0297	0.0053	0.0053	1.0193
"LST 2 constructs T 9 free S var"	"Thresholds"	"Y24$2"	-1.946	-1.8924	0.261	0.2569	0.0688	0.946	"threshold"	0.0275	0.016	0.0536	0.0536	0.0041	0.0041	1.016
"LST 2 constructs T 9 free S var"	"Thresholds"	"Y24$3"	-1.245	-1.1841	0.2547	0.2531	0.0677	0.943	"threshold"	0.0489	0.0063	0.0609	0.0609	0.0016	0.0016	1.0063
"LST 2 constructs T 9 free S var"	"Thresholds"	"Y24$4"	-0.257	-0.1808	0.2514	0.25	0.0683	0.931	"threshold"	0.2965	0.0056	0.0762	0.0762	0.0014	0.0014	1.0056
"LST 2 constructs T 9 free S var"	"Thresholds"	"Y24$5"	0.724	0.8133	0.2538	0.2524	0.0716	0.934	"threshold"	0.1233	0.0055	0.0893	0.0893	0.0014	0.0014	1.0055
"LST 2 constructs T 9 free S var"	"Thresholds"	"Y15$1"	-2.916	-2.8863	0.2798	0.2745	0.0761	0.951	"threshold"	0.0102	0.0193	0.0297	0.0297	0.0053	0.0053	1.0193
"LST 2 constructs T 9 free S var"	"Thresholds"	"Y15$2"	-1.946	-1.8924	0.261	0.2569	0.0688	0.946	"threshold"	0.0275	0.016	0.0536	0.0536	0.0041	0.0041	1.016
"LST 2 constructs T 9 free S var"	"Thresholds"	"Y15$3"	-1.245	-1.1841	0.2547	0.2531	0.0677	0.943	"threshold"	0.0489	0.0063	0.0609	0.0609	0.0016	0.0016	1.0063
"LST 2 constructs T 9 free S var"	"Thresholds"	"Y15$4"	-0.257	-0.1808	0.2514	0.25	0.0683	0.931	"threshold"	0.2965	0.0056	0.0762	0.0762	0.0014	0.0014	1.0056
"LST 2 constructs T 9 free S var"	"Thresholds"	"Y15$5"	0.724	0.8133	0.2538	0.2524	0.0716	0.934	"threshold"	0.1233	0.0055	0.0893	0.0893	0.0014	0.0014	1.0055
"LST 2 constructs T 9 free S var"	"Thresholds"	"Y25$1"	-2.916	-2.8863	0.2798	0.2745	0.0761	0.951	"threshold"	0.0102	0.0193	0.0297	0.0297	0.0053	0.0053	1.0193
"LST 2 constructs T 9 free S var"	"Thresholds"	"Y25$2"	-1.946	-1.8924	0.261	0.2569	0.0688	0.946	"threshold"	0.0275	0.016	0.0536	0.0536	0.0041	0.0041	1.016
"LST 2 constructs T 9 free S var"	"Thresholds"	"Y25$3"	-1.245	-1.1841	0.2547	0.2531	0.0677	0.943	"threshold"	0.0489	0.0063	0.0609	0.0609	0.0016	0.0016	1.0063
"LST 2 constructs T 9 free S var"	"Thresholds"	"Y25$4"	-0.257	-0.1808	0.2514	0.25	0.0683	0.931	"threshold"	0.2965	0.0056	0.0762	0.0762	0.0014	0.0014	1.0056
"LST 2 constructs T 9 free S var"	"Thresholds"	"Y25$5"	0.724	0.8133	0.2538	0.2524	0.0716	0.934	"threshold"	0.1233	0.0055	0.0893	0.0893	0.0014	0.0014	1.0055
"LST 2 constructs T 9 free S var"	"Thresholds"	"Y16$1"	-2.916	-2.8863	0.2798	0.2745	0.0761	0.951	"threshold"	0.0102	0.0193	0.0297	0.0297	0.0053	0.0053	1.0193
"LST 2 constructs T 9 free S var"	"Thresholds"	"Y16$2"	-1.946	-1.8924	0.261	0.2569	0.0688	0.946	"threshold"	0.0275	0.016	0.0536	0.0536	0.0041	0.0041	1.016
"LST 2 constructs T 9 free S var"	"Thresholds"	"Y16$3"	-1.245	-1.1841	0.2547	0.2531	0.0677	0.943	"threshold"	0.0489	0.0063	0.0609	0.0609	0.0016	0.0016	1.0063
"LST 2 constructs T 9 free S var"	"Thresholds"	"Y16$4"	-0.257	-0.1808	0.2514	0.25	0.0683	0.931	"threshold"	0.2965	0.0056	0.0762	0.0762	0.0014	0.0014	1.0056
"LST 2 constructs T 9 free S var"	"Thresholds"	"Y16$5"	0.724	0.8133	0.2538	0.2524	0.0716	0.934	"threshold"	0.1233	0.0055	0.0893	0.0893	0.0014	0.0014	1.0055
"LST 2 constructs T 9 free S var"	"Thresholds"	"Y26$1"	-2.916	-2.8863	0.2798	0.2745	0.0761	0.951	"threshold"	0.0102	0.0193	0.0297	0.0297	0.0053	0.0053	1.0193
"LST 2 constructs T 9 free S var"	"Thresholds"	"Y26$2"	-1.946	-1.8924	0.261	0.2569	0.0688	0.946	"threshold"	0.0275	0.016	0.0536	0.0536	0.0041	0.0041	1.016
"LST 2 constructs T 9 free S var"	"Thresholds"	"Y26$3"	-1.245	-1.1841	0.2547	0.2531	0.0677	0.943	"threshold"	0.0489	0.0063	0.0609	0.0609	0.0016	0.0016	1.0063
"LST 2 constructs T 9 free S var"	"Thresholds"	"Y26$4"	-0.257	-0.1808	0.2514	0.25	0.0683	0.931	"threshold"	0.2965	0.0056	0.0762	0.0762	0.0014	0.0014	1.0056
"LST 2 constructs T 9 free S var"	"Thresholds"	"Y26$5"	0.724	0.8133	0.2538	0.2524	0.0716	0.934	"threshold"	0.1233	0.0055	0.0893	0.0893	0.0014	0.0014	1.0055
"LST 2 constructs T 9 free S var"	"Thresholds"	"Y17$1"	-2.916	-2.8863	0.2798	0.2745	0.0761	0.951	"threshold"	0.0102	0.0193	0.0297	0.0297	0.0053	0.0053	1.0193
"LST 2 constructs T 9 free S var"	"Thresholds"	"Y17$2"	-1.946	-1.8924	0.261	0.2569	0.0688	0.946	"threshold"	0.0275	0.016	0.0536	0.0536	0.0041	0.0041	1.016
"LST 2 constructs T 9 free S var"	"Thresholds"	"Y17$3"	-1.245	-1.1841	0.2547	0.2531	0.0677	0.943	"threshold"	0.0489	0.0063	0.0609	0.0609	0.0016	0.0016	1.0063
"LST 2 constructs T 9 free S var"	"Thresholds"	"Y17$4"	-0.257	-0.1808	0.2514	0.25	0.0683	0.931	"threshold"	0.2965	0.0056	0.0762	0.0762	0.0014	0.0014	1.0056
"LST 2 constructs T 9 free S var"	"Thresholds"	"Y17$5"	0.724	0.8133	0.2538	0.2524	0.0716	0.934	"threshold"	0.1233	0.0055	0.0893	0.0893	0.0014	0.0014	1.0055
"LST 2 constructs T 9 free S var"	"Thresholds"	"Y27$1"	-2.916	-2.8863	0.2798	0.2745	0.0761	0.951	"threshold"	0.0102	0.0193	0.0297	0.0297	0.0053	0.0053	1.0193
"LST 2 constructs T 9 free S var"	"Thresholds"	"Y27$2"	-1.946	-1.8924	0.261	0.2569	0.0688	0.946	"threshold"	0.0275	0.016	0.0536	0.0536	0.0041	0.0041	1.016
"LST 2 constructs T 9 free S var"	"Thresholds"	"Y27$3"	-1.245	-1.1841	0.2547	0.2531	0.0677	0.943	"threshold"	0.0489	0.0063	0.0609	0.0609	0.0016	0.0016	1.0063
"LST 2 constructs T 9 free S var"	"Thresholds"	"Y27$4"	-0.257	-0.1808	0.2514	0.25	0.0683	0.931	"threshold"	0.2965	0.0056	0.0762	0.0762	0.0014	0.0014	1.0056
"LST 2 constructs T 9 free S var"	"Thresholds"	"Y27$5"	0.724	0.8133	0.2538	0.2524	0.0716	0.934	"threshold"	0.1233	0.0055	0.0893	0.0893	0.0014	0.0014	1.0055
"LST 2 constructs T 9 free S var"	"Thresholds"	"Y18$1"	-2.916	-2.8863	0.2798	0.2745	0.0761	0.951	"threshold"	0.0102	0.0193	0.0297	0.0297	0.0053	0.0053	1.0193
"LST 2 constructs T 9 free S var"	"Thresholds"	"Y18$2"	-1.946	-1.8924	0.261	0.2569	0.0688	0.946	"threshold"	0.0275	0.016	0.0536	0.0536	0.0041	0.0041	1.016
"LST 2 constructs T 9 free S var"	"Thresholds"	"Y18$3"	-1.245	-1.1841	0.2547	0.2531	0.0677	0.943	"threshold"	0.0489	0.0063	0.0609	0.0609	0.0016	0.0016	1.0063
"LST 2 constructs T 9 free S var"	"Thresholds"	"Y18$4"	-0.257	-0.1808	0.2514	0.25	0.0683	0.931	"threshold"	0.2965	0.0056	0.0762	0.0762	0.0014	0.0014	1.0056
"LST 2 constructs T 9 free S var"	"Thresholds"	"Y18$5"	0.724	0.8133	0.2538	0.2524	0.0716	0.934	"threshold"	0.1233	0.0055	0.0893	0.0893	0.0014	0.0014	1.0055
"LST 2 constructs T 9 free S var"	"Thresholds"	"Y28$1"	-2.916	-2.8863	0.2798	0.2745	0.0761	0.951	"threshold"	0.0102	0.0193	0.0297	0.0297	0.0053	0.0053	1.0193
"LST 2 constructs T 9 free S var"	"Thresholds"	"Y28$2"	-1.946	-1.8924	0.261	0.2569	0.0688	0.946	"threshold"	0.0275	0.016	0.0536	0.0536	0.0041	0.0041	1.016
"LST 2 constructs T 9 free S var"	"Thresholds"	"Y28$3"	-1.245	-1.1841	0.2547	0.2531	0.0677	0.943	"threshold"	0.0489	0.0063	0.0609	0.0609	0.0016	0.0016	1.0063
"LST 2 constructs T 9 free S var"	"Thresholds"	"Y28$4"	-0.257	-0.1808	0.2514	0.25	0.0683	0.931	"threshold"	0.2965	0.0056	0.0762	0.0762	0.0014	0.0014	1.0056
"LST 2 constructs T 9 free S var"	"Thresholds"	"Y28$5"	0.724	0.8133	0.2538	0.2524	0.0716	0.934	"threshold"	0.1233	0.0055	0.0893	0.0893	0.0014	0.0014	1.0055
"LST 2 constructs T 9 free S var"	"Thresholds"	"Y19$1"	-2.916	-2.8863	0.2798	0.2745	0.0761	0.951	"threshold"	0.0102	0.0193	0.0297	0.0297	0.0053	0.0053	1.0193
"LST 2 constructs T 9 free S var"	"Thresholds"	"Y19$2"	-1.946	-1.8924	0.261	0.2569	0.0688	0.946	"threshold"	0.0275	0.016	0.0536	0.0536	0.0041	0.0041	1.016
"LST 2 constructs T 9 free S var"	"Thresholds"	"Y19$3"	-1.245	-1.1841	0.2547	0.2531	0.0677	0.943	"threshold"	0.0489	0.0063	0.0609	0.0609	0.0016	0.0016	1.0063
"LST 2 constructs T 9 free S var"	"Thresholds"	"Y19$4"	-0.257	-0.1808	0.2514	0.25	0.0683	0.931	"threshold"	0.2965	0.0056	0.0762	0.0762	0.0014	0.0014	1.0056
"LST 2 constructs T 9 free S var"	"Thresholds"	"Y19$5"	0.724	0.8133	0.2538	0.2524	0.0716	0.934	"threshold"	0.1233	0.0055	0.0893	0.0893	0.0014	0.0014	1.0055
"LST 2 constructs T 9 free S var"	"Thresholds"	"Y29$1"	-2.916	-2.8863	0.2798	0.2745	0.0761	0.951	"threshold"	0.0102	0.0193	0.0297	0.0297	0.0053	0.0053	1.0193
"LST 2 constructs T 9 free S var"	"Thresholds"	"Y29$2"	-1.946	-1.8924	0.261	0.2569	0.0688	0.946	"threshold"	0.0275	0.016	0.0536	0.0536	0.0041	0.0041	1.016
"LST 2 constructs T 9 free S var"	"Thresholds"	"Y29$3"	-1.245	-1.1841	0.2547	0.2531	0.0677	0.943	"threshold"	0.0489	0.0063	0.0609	0.0609	0.0016	0.0016	1.0063
"LST 2 constructs T 9 free S var"	"Thresholds"	"Y29$4"	-0.257	-0.1808	0.2514	0.25	0.0683	0.931	"threshold"	0.2965	0.0056	0.0762	0.0762	0.0014	0.0014	1.0056
"LST 2 constructs T 9 free S var"	"Thresholds"	"Y29$5"	0.724	0.8133	0.2538	0.2524	0.0716	0.934	"threshold"	0.1233	0.0055	0.0893	0.0893	0.0014	0.0014	1.0055
"LST 2 constructs T 9 free S var"	"Thresholds"	"X11$1"	-2.814	-2.8254	0.3039	0.3129	0.0979	0.932	"threshold"	0.0041	0.0288	-0.0114	0.0114	0.009	-0.009	0.9712
"LST 2 constructs T 9 free S var"	"Thresholds"	"X11$2"	-1.523	-1.5212	0.2852	0.2916	0.0849	0.94	"threshold"	0.0012	0.0219	0.0018	0.0018	0.0064	-0.0064	0.9781
"LST 2 constructs T 9 free S var"	"Thresholds"	"X11$3"	-0.589	-0.5829	0.2801	0.2868	0.0822	0.941	"threshold"	0.0104	0.0234	0.0061	0.0061	0.0067	-0.0067	0.9766
"LST 2 constructs T 9 free S var"	"Thresholds"	"X11$4"	0.686	0.701	0.2805	0.2837	0.0806	0.943	"threshold"	0.0219	0.0113	0.015	0.015	0.0032	-0.0032	0.9887
"LST 2 constructs T 9 free S var"	"Thresholds"	"X11$5"	1.594	1.6181	0.2859	0.2861	0.0824	0.947	"threshold"	0.0151	7e-04	0.0241	0.0241	2e-04	-2e-04	0.9993
"LST 2 constructs T 9 free S var"	"Thresholds"	"X11$6"	2.845	2.8858	0.3049	0.3048	0.0945	0.944	"threshold"	0.0143	3e-04	0.0408	0.0408	1e-04	1e-04	1.0003
"LST 2 constructs T 9 free S var"	"Thresholds"	"X21$1"	-2.814	-2.8254	0.3039	0.3129	0.0979	0.932	"threshold"	0.0041	0.0288	-0.0114	0.0114	0.009	-0.009	0.9712
"LST 2 constructs T 9 free S var"	"Thresholds"	"X21$2"	-1.523	-1.5212	0.2852	0.2916	0.0849	0.94	"threshold"	0.0012	0.0219	0.0018	0.0018	0.0064	-0.0064	0.9781
"LST 2 constructs T 9 free S var"	"Thresholds"	"X21$3"	-0.589	-0.5829	0.2801	0.2868	0.0822	0.941	"threshold"	0.0104	0.0234	0.0061	0.0061	0.0067	-0.0067	0.9766
"LST 2 constructs T 9 free S var"	"Thresholds"	"X21$4"	0.686	0.701	0.2805	0.2837	0.0806	0.943	"threshold"	0.0219	0.0113	0.015	0.015	0.0032	-0.0032	0.9887
"LST 2 constructs T 9 free S var"	"Thresholds"	"X21$5"	1.594	1.6181	0.2859	0.2861	0.0824	0.947	"threshold"	0.0151	7e-04	0.0241	0.0241	2e-04	-2e-04	0.9993
"LST 2 constructs T 9 free S var"	"Thresholds"	"X21$6"	2.845	2.8858	0.3049	0.3048	0.0945	0.944	"threshold"	0.0143	3e-04	0.0408	0.0408	1e-04	1e-04	1.0003
"LST 2 constructs T 9 free S var"	"Thresholds"	"X12$1"	-2.814	-2.8254	0.3039	0.3129	0.0979	0.932	"threshold"	0.0041	0.0288	-0.0114	0.0114	0.009	-0.009	0.9712
"LST 2 constructs T 9 free S var"	"Thresholds"	"X12$2"	-1.523	-1.5212	0.2852	0.2916	0.0849	0.94	"threshold"	0.0012	0.0219	0.0018	0.0018	0.0064	-0.0064	0.9781
"LST 2 constructs T 9 free S var"	"Thresholds"	"X12$3"	-0.589	-0.5829	0.2801	0.2868	0.0822	0.941	"threshold"	0.0104	0.0234	0.0061	0.0061	0.0067	-0.0067	0.9766
"LST 2 constructs T 9 free S var"	"Thresholds"	"X12$4"	0.686	0.701	0.2805	0.2837	0.0806	0.943	"threshold"	0.0219	0.0113	0.015	0.015	0.0032	-0.0032	0.9887
"LST 2 constructs T 9 free S var"	"Thresholds"	"X12$5"	1.594	1.6181	0.2859	0.2861	0.0824	0.947	"threshold"	0.0151	7e-04	0.0241	0.0241	2e-04	-2e-04	0.9993
"LST 2 constructs T 9 free S var"	"Thresholds"	"X12$6"	2.845	2.8858	0.3049	0.3048	0.0945	0.944	"threshold"	0.0143	3e-04	0.0408	0.0408	1e-04	1e-04	1.0003
"LST 2 constructs T 9 free S var"	"Thresholds"	"X22$1"	-2.814	-2.8254	0.3039	0.3129	0.0979	0.932	"threshold"	0.0041	0.0288	-0.0114	0.0114	0.009	-0.009	0.9712
"LST 2 constructs T 9 free S var"	"Thresholds"	"X22$2"	-1.523	-1.5212	0.2852	0.2916	0.0849	0.94	"threshold"	0.0012	0.0219	0.0018	0.0018	0.0064	-0.0064	0.9781
"LST 2 constructs T 9 free S var"	"Thresholds"	"X22$3"	-0.589	-0.5829	0.2801	0.2868	0.0822	0.941	"threshold"	0.0104	0.0234	0.0061	0.0061	0.0067	-0.0067	0.9766
"LST 2 constructs T 9 free S var"	"Thresholds"	"X22$4"	0.686	0.701	0.2805	0.2837	0.0806	0.943	"threshold"	0.0219	0.0113	0.015	0.015	0.0032	-0.0032	0.9887
"LST 2 constructs T 9 free S var"	"Thresholds"	"X22$5"	1.594	1.6181	0.2859	0.2861	0.0824	0.947	"threshold"	0.0151	7e-04	0.0241	0.0241	2e-04	-2e-04	0.9993
"LST 2 constructs T 9 free S var"	"Thresholds"	"X22$6"	2.845	2.8858	0.3049	0.3048	0.0945	0.944	"threshold"	0.0143	3e-04	0.0408	0.0408	1e-04	1e-04	1.0003
"LST 2 constructs T 9 free S var"	"Thresholds"	"X13$1"	-2.814	-2.8254	0.3039	0.3129	0.0979	0.932	"threshold"	0.0041	0.0288	-0.0114	0.0114	0.009	-0.009	0.9712
"LST 2 constructs T 9 free S var"	"Thresholds"	"X13$2"	-1.523	-1.5212	0.2852	0.2916	0.0849	0.94	"threshold"	0.0012	0.0219	0.0018	0.0018	0.0064	-0.0064	0.9781
"LST 2 constructs T 9 free S var"	"Thresholds"	"X13$3"	-0.589	-0.5829	0.2801	0.2868	0.0822	0.941	"threshold"	0.0104	0.0234	0.0061	0.0061	0.0067	-0.0067	0.9766
"LST 2 constructs T 9 free S var"	"Thresholds"	"X13$4"	0.686	0.701	0.2805	0.2837	0.0806	0.943	"threshold"	0.0219	0.0113	0.015	0.015	0.0032	-0.0032	0.9887
"LST 2 constructs T 9 free S var"	"Thresholds"	"X13$5"	1.594	1.6181	0.2859	0.2861	0.0824	0.947	"threshold"	0.0151	7e-04	0.0241	0.0241	2e-04	-2e-04	0.9993
"LST 2 constructs T 9 free S var"	"Thresholds"	"X13$6"	2.845	2.8858	0.3049	0.3048	0.0945	0.944	"threshold"	0.0143	3e-04	0.0408	0.0408	1e-04	1e-04	1.0003
"LST 2 constructs T 9 free S var"	"Thresholds"	"X23$1"	-2.814	-2.8254	0.3039	0.3129	0.0979	0.932	"threshold"	0.0041	0.0288	-0.0114	0.0114	0.009	-0.009	0.9712
"LST 2 constructs T 9 free S var"	"Thresholds"	"X23$2"	-1.523	-1.5212	0.2852	0.2916	0.0849	0.94	"threshold"	0.0012	0.0219	0.0018	0.0018	0.0064	-0.0064	0.9781
"LST 2 constructs T 9 free S var"	"Thresholds"	"X23$3"	-0.589	-0.5829	0.2801	0.2868	0.0822	0.941	"threshold"	0.0104	0.0234	0.0061	0.0061	0.0067	-0.0067	0.9766
"LST 2 constructs T 9 free S var"	"Thresholds"	"X23$4"	0.686	0.701	0.2805	0.2837	0.0806	0.943	"threshold"	0.0219	0.0113	0.015	0.015	0.0032	-0.0032	0.9887
"LST 2 constructs T 9 free S var"	"Thresholds"	"X23$5"	1.594	1.6181	0.2859	0.2861	0.0824	0.947	"threshold"	0.0151	7e-04	0.0241	0.0241	2e-04	-2e-04	0.9993
"LST 2 constructs T 9 free S var"	"Thresholds"	"X23$6"	2.845	2.8858	0.3049	0.3048	0.0945	0.944	"threshold"	0.0143	3e-04	0.0408	0.0408	1e-04	1e-04	1.0003
"LST 2 constructs T 9 free S var"	"Thresholds"	"X14$1"	-2.814	-2.8254	0.3039	0.3129	0.0979	0.932	"threshold"	0.0041	0.0288	-0.0114	0.0114	0.009	-0.009	0.9712
"LST 2 constructs T 9 free S var"	"Thresholds"	"X14$2"	-1.523	-1.5212	0.2852	0.2916	0.0849	0.94	"threshold"	0.0012	0.0219	0.0018	0.0018	0.0064	-0.0064	0.9781
