"files"	"paramHeader"	"param"	"population"	"average"	"average_se"	"population_sd"	"mse"	"cover_95"	"kind"	"peb"	"seb"	"bias"	"abs_bias"	"abs_diff_sd_se"	"diff_sd_se"	"ratio_sd_se"
"Latent State 2 constructs T 9 free S var"	"SX5.WITH"	"SX9"	3.09	2.7551	0.8287	0.796	0.7451	0.909	"S covariance"	0.1084	0.0411	-0.3349	0.3349	0.0327	0.0327	1.0411
"Latent State 2 constructs T 9 free S var"	"SX6.WITH"	"SY1"	0.65	0.529	0.5377	0.5024	0.2669	0.937	"S covariance"	0.1862	0.0703	-0.121	0.121	0.0353	0.0353	1.0703
"Latent State 2 constructs T 9 free S var"	"SX6.WITH"	"SX7"	3.437	3.0076	0.8854	0.8568	0.9179	0.903	"S covariance"	0.1249	0.0334	-0.4294	0.4294	0.0286	0.0286	1.0334
"Latent State 2 constructs T 9 free S var"	"SX6.WITH"	"SX8"	3.45	3.0443	0.9051	0.8516	0.8893	0.918	"S covariance"	0.1176	0.0628	-0.4057	0.4057	0.0535	0.0535	1.0628
"Latent State 2 constructs T 9 free S var"	"SX6.WITH"	"SX9"	3.447	3.0103	0.8879	0.8958	0.9923	0.894	"S covariance"	0.1267	0.0088	-0.4367	0.4367	0.0079	-0.0079	0.9912
"Latent State 2 constructs T 9 free S var"	"SX7.WITH"	"SY1"	0.748	0.6203	0.5496	0.5152	0.2814	0.935	"S covariance"	0.1707	0.0668	-0.1277	0.1277	0.0344	0.0344	1.0668
"Latent State 2 constructs T 9 free S var"	"SX7.WITH"	"SX8"	3.527	3.1339	0.9246	0.8701	0.9108	0.909	"S covariance"	0.1115	0.0626	-0.3931	0.3931	0.0545	0.0545	1.0626
"Latent State 2 constructs T 9 free S var"	"SX7.WITH"	"SX9"	3.471	3.07	0.9017	0.8861	0.9455	0.898	"S covariance"	0.1155	0.0176	-0.401	0.401	0.0156	0.0156	1.0176
"Latent State 2 constructs T 9 free S var"	"SX8.WITH"	"SY1"	0.572	0.5815	0.5636	0.5315	0.2823	0.934	"S covariance"	0.0166	0.0604	0.0095	0.0095	0.0321	0.0321	1.0604
"Latent State 2 constructs T 9 free S var"	"SX8.WITH"	"SX9"	3.631	3.1748	0.933	0.9031	1.023	0.904	"S covariance"	0.1256	0.0331	-0.4562	0.4562	0.0299	0.0299	1.0331
"Latent State 2 constructs T 9 free S var"	"SX9.WITH"	"SY1"	0.563	0.5243	0.5456	0.5148	0.2662	0.941	"S covariance"	0.0687	0.0598	-0.0387	0.0387	0.0308	0.0308	1.0598
"Latent State 2 constructs T 9 free S var"	"Thresholds"	"Y11$1"	-2.584	-2.4421	0.1878	0.2146	0.0662	0.831	"threshold"	0.0549	0.1249	0.1419	0.1419	0.0268	-0.0268	0.8751
"Latent State 2 constructs T 9 free S var"	"Thresholds"	"Y11$2"	-1.652	-1.5382	0.1675	0.1957	0.0512	0.848	"threshold"	0.0689	0.1441	0.1138	0.1138	0.0282	-0.0282	0.8559
"Latent State 2 constructs T 9 free S var"	"Thresholds"	"Y11$3"	-0.976	-0.8888	0.1603	0.1858	0.0421	0.875	"threshold"	0.0893	0.1372	0.0872	0.0872	0.0255	-0.0255	0.8628
"Latent State 2 constructs T 9 free S var"	"Thresholds"	"Y11$4"	-0.061	-0.0174	0.157	0.1812	0.0347	0.897	"threshold"	0.7148	0.1336	0.0436	0.0436	0.0242	-0.0242	0.8664
"Latent State 2 constructs T 9 free S var"	"Thresholds"	"Y11$5"	0.825	0.8328	0.1604	0.1801	0.0324	0.912	"threshold"	0.0095	0.1094	0.0078	0.0078	0.0197	-0.0197	0.8906
"Latent State 2 constructs T 9 free S var"	"Thresholds"	"Y21$1"	-2.584	-2.4421	0.1878	0.2146	0.0662	0.831	"threshold"	0.0549	0.1249	0.1419	0.1419	0.0268	-0.0268	0.8751
"Latent State 2 constructs T 9 free S var"	"Thresholds"	"Y21$2"	-1.652	-1.5382	0.1675	0.1957	0.0512	0.848	"threshold"	0.0689	0.1441	0.1138	0.1138	0.0282	-0.0282	0.8559
"Latent State 2 constructs T 9 free S var"	"Thresholds"	"Y21$3"	-0.976	-0.8888	0.1603	0.1858	0.0421	0.875	"threshold"	0.0893	0.1372	0.0872	0.0872	0.0255	-0.0255	0.8628
"Latent State 2 constructs T 9 free S var"	"Thresholds"	"Y21$4"	-0.061	-0.0174	0.157	0.1812	0.0347	0.897	"threshold"	0.7148	0.1336	0.0436	0.0436	0.0242	-0.0242	0.8664
"Latent State 2 constructs T 9 free S var"	"Thresholds"	"Y21$5"	0.825	0.8328	0.1604	0.1801	0.0324	0.912	"threshold"	0.0095	0.1094	0.0078	0.0078	0.0197	-0.0197	0.8906
"Latent State 2 constructs T 9 free S var"	"Thresholds"	"Y12$1"	-2.584	-2.4421	0.1878	0.2146	0.0662	0.831	"threshold"	0.0549	0.1249	0.1419	0.1419	0.0268	-0.0268	0.8751
"Latent State 2 constructs T 9 free S var"	"Thresholds"	"Y12$2"	-1.652	-1.5382	0.1675	0.1957	0.0512	0.848	"threshold"	0.0689	0.1441	0.1138	0.1138	0.0282	-0.0282	0.8559
"Latent State 2 constructs T 9 free S var"	"Thresholds"	"Y12$3"	-0.976	-0.8888	0.1603	0.1858	0.0421	0.875	"threshold"	0.0893	0.1372	0.0872	0.0872	0.0255	-0.0255	0.8628
"Latent State 2 constructs T 9 free S var"	"Thresholds"	"Y12$4"	-0.061	-0.0174	0.157	0.1812	0.0347	0.897	"threshold"	0.7148	0.1336	0.0436	0.0436	0.0242	-0.0242	0.8664
"Latent State 2 constructs T 9 free S var"	"Thresholds"	"Y12$5"	0.825	0.8328	0.1604	0.1801	0.0324	0.912	"threshold"	0.0095	0.1094	0.0078	0.0078	0.0197	-0.0197	0.8906
"Latent State 2 constructs T 9 free S var"	"Thresholds"	"Y22$1"	-2.584	-2.4421	0.1878	0.2146	0.0662	0.831	"threshold"	0.0549	0.1249	0.1419	0.1419	0.0268	-0.0268	0.8751
"Latent State 2 constructs T 9 free S var"	"Thresholds"	"Y22$2"	-1.652	-1.5382	0.1675	0.1957	0.0512	0.848	"threshold"	0.0689	0.1441	0.1138	0.1138	0.0282	-0.0282	0.8559
"Latent State 2 constructs T 9 free S var"	"Thresholds"	"Y22$3"	-0.976	-0.8888	0.1603	0.1858	0.0421	0.875	"threshold"	0.0893	0.1372	0.0872	0.0872	0.0255	-0.0255	0.8628
"Latent State 2 constructs T 9 free S var"	"Thresholds"	"Y22$4"	-0.061	-0.0174	0.157	0.1812	0.0347	0.897	"threshold"	0.7148	0.1336	0.0436	0.0436	0.0242	-0.0242	0.8664
"Latent State 2 constructs T 9 free S var"	"Thresholds"	"Y22$5"	0.825	0.8328	0.1604	0.1801	0.0324	0.912	"threshold"	0.0095	0.1094	0.0078	0.0078	0.0197	-0.0197	0.8906
"Latent State 2 constructs T 9 free S var"	"Thresholds"	"Y13$1"	-2.584	-2.4421	0.1878	0.2146	0.0662	0.831	"threshold"	0.0549	0.1249	0.1419	0.1419	0.0268	-0.0268	0.8751
"Latent State 2 constructs T 9 free S var"	"Thresholds"	"Y13$2"	-1.652	-1.5382	0.1675	0.1957	0.0512	0.848	"threshold"	0.0689	0.1441	0.1138	0.1138	0.0282	-0.0282	0.8559
"Latent State 2 constructs T 9 free S var"	"Thresholds"	"Y13$3"	-0.976	-0.8888	0.1603	0.1858	0.0421	0.875	"threshold"	0.0893	0.1372	0.0872	0.0872	0.0255	-0.0255	0.8628
"Latent State 2 constructs T 9 free S var"	"Thresholds"	"Y13$4"	-0.061	-0.0174	0.157	0.1812	0.0347	0.897	"threshold"	0.7148	0.1336	0.0436	0.0436	0.0242	-0.0242	0.8664
"Latent State 2 constructs T 9 free S var"	"Thresholds"	"Y13$5"	0.825	0.8328	0.1604	0.1801	0.0324	0.912	"threshold"	0.0095	0.1094	0.0078	0.0078	0.0197	-0.0197	0.8906
"Latent State 2 constructs T 9 free S var"	"Thresholds"	"Y23$1"	-2.584	-2.4421	0.1878	0.2146	0.0662	0.831	"threshold"	0.0549	0.1249	0.1419	0.1419	0.0268	-0.0268	0.8751
"Latent State 2 constructs T 9 free S var"	"Thresholds"	"Y23$2"	-1.652	-1.5382	0.1675	0.1957	0.0512	0.848	"threshold"	0.0689	0.1441	0.1138	0.1138	0.0282	-0.0282	0.8559
"Latent State 2 constructs T 9 free S var"	"Thresholds"	"Y23$3"	-0.976	-0.8888	0.1603	0.1858	0.0421	0.875	"threshold"	0.0893	0.1372	0.0872	0.0872	0.0255	-0.0255	0.8628
"Latent State 2 constructs T 9 free S var"	"Thresholds"	"Y23$4"	-0.061	-0.0174	0.157	0.1812	0.0347	0.897	"threshold"	0.7148	0.1336	0.0436	0.0436	0.0242	-0.0242	0.8664
"Latent State 2 constructs T 9 free S var"	"Thresholds"	"Y23$5"	0.825	0.8328	0.1604	0.1801	0.0324	0.912	"threshold"	0.0095	0.1094	0.0078	0.0078	0.0197	-0.0197	0.8906
"Latent State 2 constructs T 9 free S var"	"Thresholds"	"Y14$1"	-2.584	-2.4421	0.1878	0.2146	0.0662	0.831	"threshold"	0.0549	0.1249	0.1419	0.1419	0.0268	-0.0268	0.8751
"Latent State 2 constructs T 9 free S var"	"Thresholds"	"Y14$2"	-1.652	-1.5382	0.1675	0.1957	0.0512	0.848	"threshold"	0.0689	0.1441	0.1138	0.1138	0.0282	-0.0282	0.8559
"Latent State 2 constructs T 9 free S var"	"Thresholds"	"Y14$3"	-0.976	-0.8888	0.1603	0.1858	0.0421	0.875	"threshold"	0.0893	0.1372	0.0872	0.0872	0.0255	-0.0255	0.8628
"Latent State 2 constructs T 9 free S var"	"Thresholds"	"Y14$4"	-0.061	-0.0174	0.157	0.1812	0.0347	0.897	"threshold"	0.7148	0.1336	0.0436	0.0436	0.0242	-0.0242	0.8664
"Latent State 2 constructs T 9 free S var"	"Thresholds"	"Y14$5"	0.825	0.8328	0.1604	0.1801	0.0324	0.912	"threshold"	0.0095	0.1094	0.0078	0.0078	0.0197	-0.0197	0.8906
"Latent State 2 constructs T 9 free S var"	"Thresholds"	"Y24$1"	-2.584	-2.4421	0.1878	0.2146	0.0662	0.831	"threshold"	0.0549	0.1249	0.1419	0.1419	0.0268	-0.0268	0.8751
"Latent State 2 constructs T 9 free S var"	"Thresholds"	"Y24$2"	-1.652	-1.5382	0.1675	0.1957	0.0512	0.848	"threshold"	0.0689	0.1441	0.1138	0.1138	0.0282	-0.0282	0.8559
"Latent State 2 constructs T 9 free S var"	"Thresholds"	"Y24$3"	-0.976	-0.8888	0.1603	0.1858	0.0421	0.875	"threshold"	0.0893	0.1372	0.0872	0.0872	0.0255	-0.0255	0.8628
